Id,Supermercado,Marca,Producto,Precio,Categoria,Enlace,Fecha,porMayor,ProductoNormalizado
1850,Unimarc,Colun,Leche En Polvo Colun Entera Instantáneo Doypack 900 G,7390,Leche Entera,https://www.unimarc.cl/product/leche-polvo-inst-entera-colun-900-gr,2024-11-02,,900g colun colun doypack en entera instantaneo leche polvo
1851,Unimarc,Colun,Leche En Polvo Colun Entera Instantáneo Doypack 900 G,7390,Leche Entera,https://www.unimarc.cl/product/leche-polvo-inst-entera-colun-900-gr,2024-10-26,,900g colun colun doypack en entera instantaneo leche polvo
1852,Unimarc,Ilko,Rebanador De Porotos Ilko Basic,7590,Porotos,https://www.unimarc.cl/product/rebanador-de-porotos-clasica-ilko,2024-10-01,,basic ilko ilko porotos rebanador
1853,Unimarc,Ilko,Rebanador De Porotos Ilko Basic,7590,Porotos,https://www.unimarc.cl/product/rebanador-de-porotos-clasica-ilko,2024-10-06,,basic ilko ilko porotos rebanador
1854,Unimarc,Ilko,Rebanador De Porotos Ilko Basic,7590,Porotos,https://www.unimarc.cl/product/rebanador-de-porotos-clasica-ilko,2024-10-26,,basic ilko ilko porotos rebanador
1855,Unimarc,Ilko,Rebanador De Porotos Ilko Basic,7590,Porotos,https://www.unimarc.cl/product/rebanador-de-porotos-clasica-ilko,2024-11-11,,basic ilko ilko porotos rebanador
1856,Unimarc,Ilko,Rebanador De Porotos Ilko Basic,7590,Porotos,https://www.unimarc.cl/product/rebanador-de-porotos-clasica-ilko,2024-11-02,,basic ilko ilko porotos rebanador
1857,Unimarc,Calo,Leche En Polvo Calo Entera Instantánea Bolsa 850 G,7850,Leche Entera,https://www.unimarc.cl/product/leche-polvo-inst-26-mg-calo-sb-900-gr,2024-10-01,,850g bolsa calo calo en entera instantanea leche polvo
1858,Unimarc,Calo,Leche En Polvo Calo Entera Instantánea Bolsa 850 G,7850,Leche Entera,https://www.unimarc.cl/product/leche-polvo-inst-26-mg-calo-sb-900-gr,2024-10-06,,850g bolsa calo calo en entera instantanea leche polvo
1859,Santa Isabel,Surlat,Pack 6 Un. Leche Surlat Entera 1 L,7914,Leche Entera,https://www.santaisabel.cl/leche-s-l-entera-surlat-1l-1882658-pak/p,2024-11-02,,6un entera leche surlat surlat
1860,Santa Isabel,Surlat,Pack 6 Un. Leche Surlat Entera 1 L,7914,Leche Entera,https://www.santaisabel.cl/leche-s-l-entera-surlat-1l-1882658-pak/p,2024-10-06,,6un entera leche surlat surlat
1861,Santa Isabel,Surlat,Pack 6 Un. Leche Surlat Entera 1 L,7914,Leche Entera,https://www.santaisabel.cl/leche-s-l-entera-surlat-1l-1882658-pak/p,2024-10-26,,6un entera leche surlat surlat
1862,Santa Isabel,Surlat,Pack 6 Un. Leche Surlat Entera 1 L,7914,Leche Entera,https://www.santaisabel.cl/leche-s-l-entera-surlat-1l-1882658-pak/p,2024-11-11,,6un entera leche surlat surlat
1863,Santa Isabel,Surlat,Pack 6 Un. Leche Surlat Entera 1 L,7914,Leche Entera,https://www.santaisabel.cl/leche-s-l-entera-surlat-1l-1882658-pak/p,2024-10-01,,6un entera leche surlat surlat
1864,Jumbo,Surlat,Pack 6 Un. Leche Surlat Entera 1 L,7974,Leche Entera,https://www.jumbo.cl/leche-s-l-entera-surlat-1l-1882658-pak/p,2024-11-02,,6un entera leche surlat surlat
1865,Santa Isabel,Colun,Leche Polvo Colun Entera 900 G,8190,Leche Entera,https://www.santaisabel.cl/leche-en-polvo-entera-colun-900-g/p,2024-10-01,,900g colun colun entera leche polvo
1866,Santa Isabel,Colun,Leche Polvo Colun Entera 900 G,8190,Leche Entera,https://www.santaisabel.cl/leche-en-polvo-entera-colun-900-g/p,2024-10-06,,900g colun colun entera leche polvo
1867,Santa Isabel,Colun,Leche Polvo Colun Entera 900 G,8190,Leche Entera,https://www.santaisabel.cl/leche-en-polvo-entera-colun-900-g/p,2024-10-26,,900g colun colun entera leche polvo
1868,Jumbo,Colun,Leche Polvo Colun Entera 900 G,8290,Leche Entera,https://www.jumbo.cl/leche-en-polvo-entera-colun-900-g/p,2024-11-11,,900g colun colun entera leche polvo
1869,Jumbo,Colun,Leche Polvo Colun Entera 900 G,8290,Leche Entera,https://www.jumbo.cl/leche-en-polvo-entera-colun-900-g/p,2024-10-01,,900g colun colun entera leche polvo
1870,Jumbo,Colun,Leche Polvo Colun Entera 900 G,8290,Leche Entera,https://www.jumbo.cl/leche-en-polvo-entera-colun-900-g/p,2024-11-02,,900g colun colun entera leche polvo
1871,Jumbo,Colun,Leche Polvo Colun Entera 900 G,8290,Leche Entera,https://www.jumbo.cl/leche-en-polvo-entera-colun-900-g/p,2024-10-26,,900g colun colun entera leche polvo
1872,Jumbo,Colun,Leche Polvo Colun Entera 900 G,8290,Leche Entera,https://www.jumbo.cl/leche-en-polvo-entera-colun-900-g/p,2024-10-06,,900g colun colun entera leche polvo
1873,Unimarc,Colun,Leche En Polvo Colun Entera Instantáneo Doypack 900 G,8650,Leche Entera,https://www.unimarc.cl/product/leche-polvo-inst-entera-colun-900-gr,2024-10-01,,900g colun colun doypack en entera instantaneo leche polvo
1874,Unimarc,Colun,Leche En Polvo Colun Entera Instantáneo Doypack 900 G,8650,Leche Entera,https://www.unimarc.cl/product/leche-polvo-inst-entera-colun-900-gr,2024-10-06,,900g colun colun doypack en entera instantaneo leche polvo
1875,Santa Isabel,Nido,Leche Polvo Nido Entera 800 G,9090,Leche Entera,https://www.santaisabel.cl/leche-en-polvo-entera-800-g-1930446/p,2024-10-26,,800g entera leche nido nido polvo
1876,Santa Isabel,Nido,Leche Polvo Nido Entera 800 G,9090,Leche Entera,https://www.santaisabel.cl/leche-en-polvo-entera-800-g-1930446/p,2024-10-06,,800g entera leche nido nido polvo
1877,Santa Isabel,Nido,Leche Polvo Nido Entera 800 G,9090,Leche Entera,https://www.santaisabel.cl/leche-en-polvo-entera-800-g-1930446/p,2024-10-01,,800g entera leche nido nido polvo
1878,Unimarc,Calo,Leche En Polvo Calo Entera Instantánea Bolsa 1.440 Kg,9170,Leche Entera,https://www.unimarc.cl/product/leche-polvo-entera-instant-calo-1-440-kg,2024-10-01,,1.44kg bolsa calo calo en entera instantanea leche polvo
1879,Jumbo,Nido,Leche Polvo Nido Entera 800 G,9190,Leche Entera,https://www.jumbo.cl/leche-en-polvo-nido-entera-bolsa-800gr-1930446/p,2024-10-01,,800g entera leche nido nido polvo
1880,Unimarc,Nido,Leche En Polvo Nido Entera 800 G,9190,Leche Entera,https://www.unimarc.cl/product/leche-en-polvo-intantanea-nido-800-gr,2024-10-26,,800g en entera leche nido nido polvo
